ObjectID,Shape,GridCode,Shape_Length,Shape_Area,Area_in_Hectares,Area_in_Percent,Soil_Moisture,Year,Cultivated_Area_in_Hectares,Production_in_Metric_Tons
1,Polygon,1,112.494012,576.342773,0.057634,2.4e-05,Very Dry,2017,,
2,Polygon,2,8342086.751048,310871285.277927,31087.13,12.76498,Dry,2017,,
3,Polygon,3,17286852.991248,1584651087.97008,158465.1,65.06888,Wet,2017,38824.0,103737.0
4,Polygon,4,8910921.089225,539821156.216021,53982.12,22.16611,Very Wet,2017,,
1,Polygon,1,1654.313562,20421.23209,2.042123,0.000839,Very Dry,2020,,
2,Polygon,2,11812794.30453,436020314.08001,43602.03,17.90404,Dry,2020,,
3,Polygon,3,23387095.669033,1480377088.96055,148037.7,60.78782,Wet,2020,47295.0,134357.0
4,Polygon,4,11637937.221782,518900583.439077,51890.06,21.3073,Very Wet,2020,,
1,Polygon,1,112.494012,576.342773,0.057634,2.4e-05,Very Dry,2023,,
2,Polygon,2,7307092.086929,232962691.683349,23296.27,9.565818,Dry,2023,,
3,Polygon,3,15966454.215406,2004670015.60035,200467.0,82.31493,Wet,2023,45384.0,133706.0
4,Polygon,4,8486403.307573,197732913.172405,19773.29,8.119227,Very Wet,2023,,
